,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Martyush,43.41,91,29,7.18,56.4,61.88
1,La Ronge,48.2,66,90,8.05,55.1,-105.28
2,Laguna,95.0,13,1,3.36,38.42,-121.42
3,Arrondissement d'Ajaccio,53.6,93,100,8.05,42.0,8.92
4,Srednekolymsk,52.52,43,60,10.36,67.45,153.68
5,Saint Paul Harbor,48.2,87,90,13.87,57.79,-152.41
6,Saldanha,39.2,86,0,2.24,-33.01,17.94
7,West Bay,86.0,79,75,4.7,19.37,-81.42
8,Albany,73.0,94,5,4.65,42.6,-73.97
9,George Town,80.6,78,20,4.7,5.41,100.34
10,Utevka,50.68,68,95,2.06,52.9,50.95
11,Punta Arenas,46.4,65,40,31.09,-53.15,-70.92
12,Berlevåg,42.67,82,98,16.35,70.86,29.09
13,Carnarvon,71.6,56,75,14.99,-24.87,113.63
14,Port Alfred,51.84,71,5,7.74,-33.59,26.89
15,Bredasdorp,48.2,81,0,3.36,-34.53,20.04
16,Kapaa,84.2,66,40,12.75,22.08,-159.32
17,Pingxiang,66.15,90,100,1.74,27.62,113.85
18,Cerinza,51.85,83,98,2.66,5.96,-72.95
19,Gerāsh,71.6,43,0,2.77,27.67,54.14
20,Kathmandu,69.8,94,40,2.24,27.72,85.32
21,Rikitea,74.64,78,0,11.1,-23.12,-134.97
22,Bandarbeyla,76.17,80,39,17.34,9.49,50.81
23,Kysyl-Syr,41.83,69,3,7.94,63.9,122.76
24,Kaitangata,43.0,73,100,15.99,-46.28,169.85
25,Hermanus,37.99,93,0,5.73,-34.42,19.23
26,Codajás,75.52,85,36,0.74,-3.84,-62.06
27,Mataura,41.0,75,100,15.01,-46.19,168.86
28,Saskylakh,35.04,93,100,22.44,71.92,114.08
29,Ushibukamachi,72.16,65,86,9.46,32.19,130.02
30,Atuona,78.26,74,4,14.47,-9.8,-139.03
31,Leningradskiy,33.85,86,72,8.86,69.38,178.42
32,Iskateley,35.55,86,87,3.74,67.68,53.15
33,Nardaran,66.2,55,65,6.93,40.56,50.01
34,Nelson Bay,64.99,55,40,8.05,-32.72,152.15
35,Alofi,78.8,78,100,21.92,-19.06,-169.92
36,Chokurdakh,44.6,76,84,3.67,70.63,147.92
37,Mehamn,40.6,81,70,12.33,71.04,27.85
38,Baft,56.62,38,0,2.13,29.23,56.61
39,Paysandu,57.0,85,13,4.0,-32.32,-58.08
40,Sitka,57.2,71,90,21.92,57.05,-135.33
41,Lebu,49.44,89,31,13.11,-37.62,-73.65
42,Hokitika,48.49,66,100,34.18,-42.72,170.97
43,Cairns,87.01,51,40,14.99,-16.92,145.77
44,Hobart,57.99,50,75,12.75,-42.88,147.33
45,Raudeberg,55.99,84,100,9.08,61.99,5.14
46,Pontianak,74.93,92,100,4.99,-0.03,109.33
47,East London,54.39,64,0,4.47,-33.02,27.91
48,Boyle,66.2,93,1,5.41,37.63,-84.87
49,Dikson,36.9,79,100,27.6,73.51,80.55
50,Dom Pedrito,55.45,93,4,7.34,-30.98,-54.67
51,Cape Town,42.01,86,0,1.12,-33.93,18.42
52,Hilo,86.0,51,1,8.05,19.73,-155.09
53,Husavik,41.0,100,75,4.27,66.04,-17.34
54,Puerto Ayora,69.01,87,97,8.01,-0.74,-90.35
55,Kościerzyna,51.01,87,75,11.41,54.12,17.98
56,Leh,42.24,56,0,3.56,34.17,77.58
57,Gladstone,75.2,47,40,17.22,-23.85,151.25
58,Saint-Augustin,52.79,91,100,7.61,51.23,-58.65
59,Mogwase,52.07,34,0,3.06,-25.18,27.27
60,Kovernino,45.61,77,78,5.44,57.13,43.81
61,Provideniya,39.2,60,75,15.66,64.38,-173.3
62,Igarka,35.35,82,96,25.12,67.47,86.58
63,Christchurch,55.0,66,47,8.05,-43.53,172.63
64,Yellowknife,44.6,87,75,14.99,62.46,-114.35
65,Khatanga,31.57,94,100,10.98,71.97,102.5
66,Ibicuí,63.91,93,0,2.77,-14.84,-39.99
67,Florence,53.6,93,75,1.12,43.77,11.25
