,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Date
0,Martyush,43.21,92,3,7.02,56.4,61.88,RU,1601259577
1,La Ronge,48.2,66,90,9.17,55.1,-105.28,CA,1601259577
2,Laguna,86.0,30,1,5.48,38.42,-121.42,US,1601259577
3,Arrondissement d'Ajaccio,53.6,93,100,4.7,42.0,8.92,FR,1601259578
4,Srednekolymsk,52.52,43,60,10.36,67.45,153.68,RU,1601259129
5,Saint Paul Harbor,48.2,87,90,13.87,57.79,-152.41,US,1601259578
6,Saldanha,39.2,80,0,1.12,-33.01,17.94,ZA,1601259912
7,West Bay,86.0,79,75,4.7,19.37,-81.42,KY,1601259913
8,Albany,73.0,95,0,3.96,42.6,-73.97,US,1601259833
9,George Town,80.6,78,20,4.7,5.41,100.34,MY,1601259577
10,Utevka,50.29,69,98,2.1,52.9,50.95,RU,1601259913
11,Punta Arenas,46.4,65,40,31.09,-53.15,-70.92,CL,1601259550
12,Berlevåg,42.67,82,98,16.35,70.86,29.09,NO,1601259914
13,Carnarvon,71.6,56,75,17.22,-24.87,113.63,AU,1601259914
14,Port Alfred,51.84,71,5,7.74,-33.59,26.89,ZA,1601259832
15,Bredasdorp,44.6,87,0,4.7,-34.53,20.04,ZA,1601259915
16,Kapaa,84.2,66,40,11.41,22.08,-159.32,US,1601259915
17,Pingxiang,65.88,91,100,2.13,27.62,113.85,CN,1601259581
18,Cerinza,52.0,84,100,1.97,5.96,-72.95,CO,1601259581
19,Gerāsh,71.6,43,0,2.77,27.67,54.14,IR,1601259581
20,Kathmandu,69.8,94,40,2.24,27.72,85.32,NP,1601259455
21,Rikitea,74.61,79,0,11.25,-23.12,-134.97,PF,1601259847
22,Bandarbeyla,76.24,79,52,17.45,9.49,50.81,SO,1601259391
23,Kysyl-Syr,41.94,75,48,7.58,63.9,122.76,RU,1601259583
24,Kaitangata,37.99,70,97,11.01,-46.28,169.85,NZ,1601259917
25,Hermanus,39.0,94,0,5.53,-34.42,19.23,ZA,1601259849
26,Codajás,74.16,91,29,1.72,-3.84,-62.06,BR,1601259852
27,Mataura,39.99,82,99,15.99,-46.19,168.86,NZ,1601259842
28,Saskylakh,35.06,93,100,23.2,71.92,114.08,RU,1601259841
29,Ushibukamachi,72.16,65,86,9.46,32.19,130.02,JP,1601259584
30,Atuona,78.26,74,4,14.47,-9.8,-139.03,PF,1601259853
31,Leningradskiy,33.85,86,72,8.86,69.38,178.42,RU,1601259854
32,Iskateley,35.65,86,76,3.74,67.68,53.15,RU,1601259558
33,Nardaran,66.2,55,65,6.93,40.56,50.01,AZ,1601259585
34,Nelson Bay,66.99,55,40,8.05,-32.72,152.15,AU,1601259585
35,Alofi,78.8,78,75,19.46,-19.06,-169.92,NU,1601259919
36,Chokurdakh,44.58,79,88,3.87,70.63,147.92,RU,1601259848
37,Mehamn,40.62,83,64,11.48,71.04,27.85,NO,1601259855
38,Baft,56.26,37,0,1.77,29.23,56.61,IR,1601259586
39,Paysandu,55.99,85,38,1.99,-32.32,-58.08,UY,1601259567
40,Sitka,55.4,76,90,25.28,57.05,-135.33,US,1601259849
41,Lebu,49.44,89,31,13.11,-37.62,-73.65,CL,1601259856
42,Hokitika,48.58,61,100,32.37,-42.72,170.97,NZ,1601259587
43,Cairns,87.01,51,40,14.99,-16.92,145.77,AU,1601259458
44,Hobart,57.2,47,40,14.99,-42.88,147.33,AU,1601259833
45,Raudeberg,55.99,84,92,9.86,61.99,5.14,NO,1601259588
46,Pontianak,74.93,92,100,4.99,-0.03,109.33,ID,1601259589
47,East London,54.39,64,0,4.47,-33.02,27.91,ZA,1601259857
48,Boyle,66.2,93,1,5.41,37.63,-84.87,US,1601259590
49,Dikson,36.9,79,100,27.6,73.51,80.55,RU,1601259857
50,Dom Pedrito,55.96,90,5,7.87,-30.98,-54.67,BR,1601259591
51,Cape Town,42.01,86,20,2.24,-33.93,18.42,ZA,1601259641
52,Hilo,82.4,65,90,10.29,19.73,-155.09,US,1601259829
53,Husavik,41.0,100,90,4.27,66.04,-17.34,IS,1601259922
54,Puerto Ayora,69.01,87,95,7.0,-0.74,-90.35,EC,1601259833
55,Kościerzyna,51.01,87,75,11.41,54.12,17.98,PL,1601259519
56,Leh,42.24,56,0,3.56,34.17,77.58,IN,1601259592
57,Gladstone,75.2,47,40,17.22,-23.85,151.25,AU,1601259510
58,Saint-Augustin,52.79,91,100,7.61,51.23,-58.65,CA,1601259859
59,Mogwase,52.43,34,0,2.53,-25.18,27.27,ZA,1601259593
60,Kovernino,45.95,77,100,5.57,57.13,43.81,RU,1601259593
61,Provideniya,39.2,60,75,15.66,64.38,-173.3,RU,1601259370
62,Igarka,35.55,82,94,25.34,67.47,86.58,RU,1601259594
63,Christchurch,57.0,66,32,8.05,-43.53,172.63,NZ,1601259580
64,Yellowknife,44.6,87,75,10.29,62.46,-114.35,CA,1601259861
